"","sample_id","rcapid","soc","soc_sd","soc_measured","sample_top","sample_bottom","texture","elevation","long","lat","landuse"
"1",104190,"C1305W011",42.44,1.617319877,"measured",0,10,"",19.7999992370605,-75.72,39.14,"W"
"2",104196,"C1305W012",45.71,1.617319877,"measured",0,7,"",19.7999992370605,-75.72,39.14,"W"
"3",104203,"C1305W013",48.94,1.617319877,"measured",0,6,"",19.7999992370605,-75.72,39.14,"W"
"4",104209,"C1305W014",40.66,1.617319877,"measured",0,9,"",19.7999992370605,-75.72,39.14,"W"
"5",104216,"C1305W015",41.03,1.617319877,"measured",0,5,"",19.7999992370605,-75.72,39.14,"W"
"6",104322,"C1306F061",49.58,1.617319877,"measured",0,7,"",1.5,-75.5,39.03,"F"
"7",104324,"C1306F062",20.95,1.617319877,"measured",0,33,"",1.5,-75.5,39.03,"F"
"8",104327,"C1306F063",34.14,1.617319877,"measured",0,34,"",1.5,-75.5,39.03,"F"
"9",104331,"C1306F064",40.46,1.617319877,"measured",0,7,"",1.5,-75.5,39.03,"F"
"10",104334,"C1306F065",22.9,1.617319877,"measured",0,34,"",1.5,-75.5,39.03,"F"
"11",104348,"C1306W013",30.15,1.617319877,"measured",0,16,"",25,-75.32,38.77,"W"
"12",104351,"C1306W014",23.79,1.617319877,"measured",0,8,"",25,-75.32,38.77,"W"
"13",104356,"C1306W015",19.83,1.617319877,"measured",0,30,"",25,-75.32,38.77,"W"
"14",106869,"C1308W051",49.38,1.617319877,"measured",0,5,"",15.1999998092651,-75.43,38.59,"W"
"15",106877,"C1308W052",19.73,1.617319877,"measured",0,6,"",15.1999998092651,-75.43,38.59,"W"
"16",106884,"C1308W053",44.86,1.617319877,"measured",0,9,"",15.1999998092651,-75.43,38.59,"W"
"17",106890,"C1308W054",47.94,1.617319877,"measured",0,5,"",15.1999998092651,-75.43,38.59,"W"
"18",106897,"C1308W055",41.03,1.617319877,"measured",0,3,"",15.1999998092651,-75.43,38.59,"W"
"19",109239,"C1313W041",46.32,1.617319877,"measured",0,7,"",13.3999996185303,-75.43,38.73,"W"
"20",109244,"C1313W042",35.61,1.617319877,"measured",0,7,"",13.3999996185303,-75.43,38.73,"W"
"21",109249,"C1313W043",48.17,1.617319877,"measured",0,8,"",13.3999996185303,-75.43,38.73,"W"
"22",109254,"C1313W044",46.36,1.617319877,"measured",0,7,"",13.3999996185303,-75.43,38.73,"W"
