"","sample_id","rcapid","soc","soc_sd","soc_measured","sample_top","sample_bottom","texture","elevation","long","lat","landuse"
"1",103236,"C1304F031",29.15,1.617319877,"measured",0,1,"",NA,-76.74,38.47,"F"
"2",103241,"C1304F032",31.66,1.617319877,"measured",0,1,"",NA,-76.74,38.47,"F"
"3",103247,"C1304F033",38.85,1.617319877,"measured",0,4,"",NA,-76.74,38.47,"F"
"4",103252,"C1304F034",17.91,1.617319877,"measured",0,1,"",NA,-76.74,38.47,"F"
"5",103257,"C1304F035",32.46,1.617319877,"measured",0,1,"",NA,-76.74,38.47,"F"
"6",103606,"C1305F031",46,1.617319877,"measured",0,3,"",248.399993896484,-78.56,39.54,"F"
"7",103612,"C1305F032",50.68,1.617319877,"measured",0,2,"",248.399993896484,-78.56,39.54,"F"
"8",103620,"C1305F033",44.6,1.617319877,"measured",0,3,"",248.399993896484,-78.56,39.54,"F"
"9",103626,"C1305F034",44.82,1.617319877,"measured",0,3,"",248.399993896484,-78.56,39.54,"F"
"10",103632,"C1305F035",45.36,1.617319877,"measured",0,3,"",248.399993896484,-78.56,39.54,"F"
"11",103719,"C1305F081",46.01,1.617319877,"measured",0,3,"",NA,-79.12,39.62,"F"
"12",103724,"C1305F082",44.94,1.617319877,"measured",0,3,"",NA,-79.12,39.62,"F"
"13",103728,"C1305F083",43.29,1.617319877,"measured",0,5,"sil",NA,-79.12,39.62,"F"
"14",103971,"C1305F292",44.11,1.617319877,"measured",0,3,"",NA,-79.17,39.45,"F"
"15",103977,"C1305F293",49.85,1.617319877,"measured",0,3,"",NA,-79.17,39.45,"F"
"16",103982,"C1305F294",51.83,1.617319877,"measured",0,3,"",NA,-79.17,39.45,"F"
"17",103988,"C1305F295",46.6,1.617319877,"measured",0,3,"",NA,-79.17,39.45,"F"
"18",104359,"C1306W021",35.34,1.617319877,"measured",0,5,"",0.300000011920929,-75.98,38.42,"W"
"19",104364,"C1306W022",34.64,1.617319877,"measured",0,5,"",0.300000011920929,-75.98,38.42,"W"
"20",104369,"C1306W023",30.49,1.617319877,"measured",0,5,"",0.300000011920929,-75.98,38.42,"W"
"21",104373,"C1306W024",26.23,1.617319877,"measured",0,5,"",0.300000011920929,-75.98,38.42,"W"
"22",104378,"C1306W025",33.36,1.617319877,"measured",0,5,"",0.300000011920929,-75.98,38.42,"W"
"23",104383,"C1306W041",22.77,1.617319877,"measured",0,27,"",0,-75.86,38.03,"W"
"24",104387,"C1306W042",14.84,1.617319877,"measured",0,10,"",0,-75.86,38.03,"W"
"25",104392,"C1306W043",29.62,1.617319877,"measured",0,44,"",0,-75.86,38.03,"W"
"26",104397,"C1306W044",21.02,1.617319877,"measured",0,32,"",0,-75.86,38.03,"W"
"27",104400,"C1306W045",19.67,1.617319877,"measured",0,24,"",0,-75.86,38.03,"W"
