"","sample_id","rcapid","soc","soc_sd","soc_measured","sample_top","sample_bottom","texture","elevation","long","lat","landuse"
"1",95065,"C1201F291",42.97,1.617319877,"measured",0,3,"",NA,-74.71,40.97,"F"
"2",95070,"C1201F292",38.62,1.617319877,"measured",0,2,"",NA,-74.71,40.97,"F"
"3",95074,"C1201F293",46.71,1.617319877,"measured",0,3,"",NA,-74.71,40.97,"F"
"4",95079,"C1201F294",45.4,1.617319877,"measured",0,4,"",NA,-74.71,40.97,"F"
"5",95084,"C1201F295",47.75,1.617319877,"measured",0,4,"",NA,-74.71,40.97,"F"
"6",100177,"C1209F051",24.3,1.617319877,"measured",0,6,"",NA,-74.38,40.84,"F"
"7",100181,"C1209F052",12.65,1.617319877,"measured",0,5,"",NA,-74.38,40.84,"F"
"8",100185,"C1209F053",14.75,1.617319877,"measured",0,6,"",NA,-74.38,40.84,"F"
"9",100189,"C1209F054",19,1.617319877,"measured",0,11,"",NA,-74.38,40.84,"F"
"10",100193,"C1209F055",25.29,1.617319877,"measured",0,6,"",NA,-74.38,40.84,"F"
"11",101049,"C1211F011",46.79,1.617319877,"measured",0,4,"",NA,-74.66,41.29,"F"
"12",101054,"C1211F012",54.37,1.617319877,"measured",0,2,"",NA,-74.66,41.29,"F"
"13",101059,"C1211F013",42.94,1.617319877,"measured",0,3,"",NA,-74.66,41.29,"F"
"14",101064,"C1211F014",40.52,1.617319877,"measured",0,2,"",NA,-74.66,41.29,"F"
"15",101069,"C1211F015",53.67,1.617319877,"measured",0,4,"",NA,-74.66,41.29,"F"
"16",101442,"C1211F181",40.58,1.617319877,"measured",0,2,"",NA,-74.47,41.15,"F"
"17",101450,"C1211F183",34.73,1.617319877,"measured",0,2,"",NA,-74.47,41.15,"F"
"18",101454,"C1211F184",36.32,1.617319877,"measured",0,3,"",NA,-74.47,41.15,"F"
"19",101458,"C1211F185",31.09,1.617319877,"measured",0,2,"",NA,-74.47,41.15,"F"
"20",103189,"C1304F011",35.76,1.617319877,"measured",0,5,"",45.7000007629395,-74.45,40.09,"F"
