"","sample_id","rcapid","soc","soc_sd","soc_measured","sample_top","sample_bottom","texture","elevation","long","lat","landuse"
"1",94488,"C1201F051",50.49,1.617319877,"measured",0,6,"",NA,-75.04,41.28,"F"
"2",94684,"C1201F121",42.63,1.617319877,"measured",0,5,"",NA,-75.47,41.03,"F"
"3",94719,"C1201F131",33.19,1.617319877,"measured",0,3,"",NA,-75.2,41.18,"F"
"4",95379,"C1201F421",44.38,1.617319877,"measured",0,3,"",NA,-75.02,41.19,"F"
"5",95385,"C1201F422",48.19,1.617319877,"measured",0,4,"",NA,-75.02,41.19,"F"
"6",95391,"C1201F423",34.9,1.617319877,"measured",0,4,"",NA,-75.02,41.19,"F"
"7",95397,"C1201F424",51.68,1.617319877,"measured",0,6,"",NA,-75.02,41.19,"F"
"8",95403,"C1201F425",37.81,1.617319877,"measured",0,5,"",NA,-75.02,41.19,"F"
"9",95437,"C1201F441",40.71,1.617319877,"measured",0,1,"",NA,-79.61,41.64,"F"
"10",95485,"C1201F472",10.02,1.617319877,"measured",0,3,"",NA,-80.46,40.92,"F"
"11",96300,"C1202W051",14.36,1.617319877,"measured",0,3,"",NA,-80.31,41.34,"W"
"12",96319,"C1202W054",12.6,1.617319877,"measured",0,3,"",NA,-80.31,41.34,"W"
"13",96323,"C1202W055",16.99,1.617319877,"measured",0,3,"",NA,-80.31,41.34,"W"
"14",100898,"C1210X011",2.59,1.617319877,"measured",0,5,"sil",420.700012207031,-76.73,41.79,"X"
"15",101263,"C1211F101",50.64,1.617319877,"measured",0,5,"",NA,-75.55,41.45,"F"
"16",101988,"C1212F041",12.34,1.617319877,"measured",0,2,"",NA,-80.2,41.41,"F"
"17",102030,"C1212F052",35.47,1.617319877,"measured",0,7,"",379.600006103516,-76.7,41.84,"F"
"18",102056,"C1212F071",38.68,1.617319877,"measured",0,3,"",NA,-75.04,41.41,"F"
"19",102114,"C1212F101",47.11,1.617319877,"measured",0,3,"",NA,-80.4,41.73,"F"
"20",102151,"C1212F111",39.39,1.617319877,"measured",0,2,"",NA,-80.28,41.81,"F"
"21",102205,"C1212F131",35.66,1.617319877,"measured",0,2,"",NA,-80.02,41.41,"F"
"22",103311,"C1304F921",47.36,1.617319877,"measured",0,1,"",655,-77.37,40.79,"F"
"23",103314,"C1304F922",48.28,1.617319877,"measured",0,3,"",655,-77.37,40.79,"F"
"24",103317,"C1304F923",49.04,1.617319877,"measured",0,2,"",655,-77.37,40.79,"F"
"25",103320,"C1304F924",47.97,1.617319877,"measured",0,2,"",655,-77.37,40.79,"F"
"26",103323,"C1304F925",47.89,1.617319877,"measured",0,2,"",655,-77.37,40.79,"F"
"27",103326,"C1304F981",17.2,1.617319877,"measured",0,6,"",NA,-77.85,40.57,"F"
"28",103331,"C1304F982",23.36,1.617319877,"measured",0,8,"",NA,-77.85,40.57,"F"
"29",103334,"C1304F983",14.14,1.617319877,"measured",0,5,"",NA,-77.85,40.57,"F"
"30",103337,"C1304F984",14.62,1.617319877,"measured",0,3,"",NA,-77.85,40.57,"F"
"31",103340,"C1304F985",16.25,1.617319877,"measured",0,6,"",NA,-77.85,40.57,"F"
"32",103667,"C1305F061",32.83,1.617319877,"measured",0,2,"",NA,-79.78,41.36,"F"
"33",103673,"C1305F062",43.45,1.617319877,"measured",0,2,"",NA,-79.78,41.36,"F"
"34",103691,"C1305F071",30.24,1.617319877,"measured",0,2,"",522.700012207031,-78.3,40.98,"F"
"35",103697,"C1305F072",47.81,1.617319877,"measured",0,3,"",522.700012207031,-78.3,40.98,"F"
"36",103703,"C1305F073",46.6,1.617319877,"measured",0,3,"",522.700012207031,-78.3,40.98,"F"
"37",103709,"C1305F074",43.55,1.617319877,"measured",0,3,"",522.700012207031,-78.3,40.98,"F"
"38",103714,"C1305F075",50.52,1.617319877,"measured",0,4,"",522.700012207031,-78.3,40.98,"F"
"39",103769,"C1305F111",51.28,1.617319877,"measured",0,2,"",617,-78.66,41.4,"F"
"40",103775,"C1305F112",53.25,1.617319877,"measured",0,4,"",617,-78.66,41.4,"F"
"41",103779,"C1305F113",52.13,1.617319877,"measured",0,2,"",617,-78.66,41.4,"F"
"42",103786,"C1305F114",50.37,1.617319877,"measured",0,2,"",617,-78.66,41.4,"F"
"43",103793,"C1305F115",47.57,1.617319877,"measured",0,3,"",617,-78.66,41.4,"F"
"44",103821,"C1305F141",40.21,1.617319877,"measured",0,1,"",495,-78.5,40.65,"F"
"45",103826,"C1305F142",47.78,1.617319877,"measured",0,3,"",495,-78.5,40.65,"F"
"46",103831,"C1305F143",47.84,1.617319877,"measured",0,2,"",495,-78.5,40.65,"F"
"47",103836,"C1305F144",47.86,1.617319877,"measured",0,3,"",495,-78.5,40.65,"F"
"48",105314,"C1307F311",42.89,1.617319877,"measured",0,2,"",NA,-78.49,40.65,"F"
"49",105323,"C1307F313",43.04,1.617319877,"measured",0,2,"",NA,-78.49,40.65,"F"
"50",105555,"C1307F431",44.5,1.617319877,"measured",0,6,"",NA,-80.35,40.68,"F"
"51",105560,"C1307F432",49.67,1.617319877,"measured",0,4,"",NA,-80.35,40.68,"F"
"52",105566,"C1307F433",45.57,1.617319877,"measured",0,6,"",NA,-80.35,40.68,"F"
"53",105571,"C1307F434",46.3,1.617319877,"measured",0,6,"",NA,-80.35,40.68,"F"
"54",105576,"C1307F435",49.22,1.617319877,"measured",0,5,"",NA,-80.35,40.68,"F"
"55",105632,"C1307F461",48.95,1.617319877,"measured",0,2,"",782,-79.12,40.24,"F"
"56",105637,"C1307F462",43.22,1.617319877,"measured",0,3,"",782,-79.12,40.24,"F"
"57",105641,"C1307F463",49.63,1.617319877,"measured",0,3,"",782,-79.12,40.24,"F"
"58",105648,"C1307F464",48.05,1.617319877,"measured",0,3,"",782,-79.12,40.24,"F"
"59",105654,"C1307F465",49.26,1.617319877,"measured",0,2,"",782,-79.12,40.24,"F"
