"","sample_id","rcapid","soc","soc_sd","soc_measured","sample_top","sample_bottom","texture","elevation","long","lat","landuse"
"1",102559,"C1302C011",2.01,1.617319877,"measured",0,5,"fsl",NA,-78.98,38.41,"C"
"2",102882,"C1303F021",44.71,1.617319877,"measured",0,3,"",NA,-79.98,37.93,"F"
"3",102886,"C1303F022",50.03,1.617319877,"measured",0,2,"",NA,-79.98,37.93,"F"
"4",102890,"C1303F023",48.38,1.617319877,"measured",0,4,"",NA,-79.98,37.93,"F"
"5",102894,"C1303F024",41.95,1.617319877,"measured",0,5,"",NA,-79.98,37.93,"F"
"6",102898,"C1303F025",51.26,1.617319877,"measured",0,6,"",NA,-79.98,37.93,"F"
"7",104701,"C1307F021",30.83,1.617319877,"measured",0,1,"",NA,-78.31,38.27,"F"
"8",104706,"C1307F022",38.74,1.617319877,"measured",0,1,"",NA,-78.31,38.27,"F"
"9",104711,"C1307F023",29.02,1.617319877,"measured",0,1,"",NA,-78.31,38.27,"F"
"10",104716,"C1307F024",36.95,1.617319877,"measured",0,1,"",NA,-78.31,38.27,"F"
"11",104721,"C1307F025",35.66,1.617319877,"measured",0,2,"",NA,-78.31,38.27,"F"
"12",105336,"C1307F321",37.87,1.617319877,"measured",0,2,"",NA,-77.55,38.9,"F"
"13",105343,"C1307F322",39.57,1.617319877,"measured",0,2,"",NA,-77.55,38.9,"F"
"14",105350,"C1307F323",44.6,1.617319877,"measured",0,1,"",NA,-77.55,38.9,"F"
"15",105357,"C1307F324",39.71,1.617319877,"measured",0,2,"",NA,-77.55,38.9,"F"
"16",105364,"C1307F325",34.98,1.617319877,"measured",0,3,"",NA,-77.55,38.9,"F"
"17",105371,"C1307F331",49.62,1.617319877,"measured",0,4,"",NA,-78.58,38.54,"F"
"18",105376,"C1307F332",50.17,1.617319877,"measured",0,4,"",NA,-78.58,38.54,"F"
"19",105379,"C1307F333",51.46,1.617319877,"measured",0,4,"",NA,-78.58,38.54,"F"
"20",105383,"C1307F334",49.78,1.617319877,"measured",0,4,"",NA,-78.58,38.54,"F"
"21",105386,"C1307F335",48.02,1.617319877,"measured",0,4,"",NA,-78.58,38.54,"F"
"22",105434,"C1307F361",19.78,1.617319877,"measured",0,2,"",NA,-82.16,36.83,"F"
"23",105438,"C1307F362",34.05,1.617319877,"measured",0,2,"",NA,-82.16,36.83,"F"
"24",105442,"C1307F363",36.1,1.617319877,"measured",0,2,"",NA,-82.16,36.83,"F"
"25",105446,"C1307F364",29.7,1.617319877,"measured",0,2,"",NA,-82.16,36.83,"F"
"26",105450,"C1307F365",33.35,1.617319877,"measured",0,2,"",NA,-82.16,36.83,"F"
"27",105714,"C1307F522",33.21,1.617319877,"measured",0,2,"",NA,-82.27,36.78,"F"
"28",105722,"C1307F524",33.52,1.617319877,"measured",0,3,"",NA,-82.27,36.78,"F"
"29",105725,"C1307F525",44.44,1.617319877,"measured",0,4,"",NA,-82.27,36.78,"F"
"30",105812,"C1307F601",40.31,1.617319877,"measured",0,1,"",NA,-77.53,39.12,"F"
"31",105818,"C1307F602",29.62,1.617319877,"measured",0,1,"",NA,-77.53,39.12,"F"
"32",105824,"C1307F603",36.57,1.617319877,"measured",0,1,"",NA,-77.53,39.12,"F"
"33",105830,"C1307F604",47.03,1.617319877,"measured",0,1,"",NA,-77.53,39.12,"F"
"34",105836,"C1307F605",46.78,1.617319877,"measured",0,1,"",NA,-77.53,39.12,"F"
"35",106636,"C1308F061",50.07,1.617319877,"measured",0,5,"",NA,-79.31,38.12,"F"
"36",106640,"C1308F062",49.57,1.617319877,"measured",0,7,"",NA,-79.31,38.12,"F"
"37",106644,"C1308F063",51.25,1.617319877,"measured",0,2,"",NA,-79.31,38.12,"F"
"38",106649,"C1308F064",50.01,1.617319877,"measured",0,4,"",NA,-79.31,38.12,"F"
